SchoolID,School,District,DistID
461,Mills Elementary School,Klamath Falls City Schools,2056
462,Pelican Elementary School,Klamath Falls City Schools,2056
463,Ponderosa Middle School,Klamath Falls City Schools,2056
465,Roosevelt Elementary School,Klamath Falls City Schools,2056
467,Bonanza Elementary School,Klamath County SD,2057
468,Chiloquin Elementary School,Klamath County SD,2057
470,Ferguson Elementary School,Klamath County SD,2057
471,Gearhart Elementary School,Klamath County SD,2057
472,Gilchrist Elementary School,Klamath County SD,2057
473,Henley Elementary School,Klamath County SD,2057
474,Keno Elementary School,Klamath County SD,2057
475,Malin Elementary School,Klamath County SD,2057
476,Merrill Elementary School,Klamath County SD,2057
477,Peterson Elementary School,Klamath County SD,2057
478,Shasta Elementary School,Klamath County SD,2057
479,Stearns Elementary School,Klamath County SD,2057
480,Brixner Junior High School,Klamath County SD,2057
481,Henley Middle School,Klamath County SD,2057
482,Bonanza Junior/Senior High School,Klamath County SD,2057
483,Chiloquin High School,Klamath County SD,2057
484,Gilchrist Junior/Senior High School,Klamath County SD,2057
485,Henley High School,Klamath County SD,2057
486,Lost River High School,Klamath County SD,2057
487,Klamath Union High School,Klamath Falls City Schools,2056
488,Mazama High School,Klamath County SD,2057
489,Union Elementary School,Lake County SD 7,2059
490,Fremont/Hay Elementary School,Lake County SD 7,2059
491,Daly Middle School,Lake County SD 7,2059
492,Lakeview Senior High School,Lake County SD 7,2059
497,Plush Elementary School,Plush SD 18,2062
498,Adel Elementary School,Adel SD 21,2063
500,Pleasant Hill Elementary School,Pleasant Hill SD 1,2081
502,Pleasant Hill High School,Pleasant Hill SD 1,2081
503,Adams Elementary School,Eugene SD 4J,2082
504,Awbrey Park Elementary School,Eugene SD 4J,2082
506,Cal Young Middle School,Eugene SD 4J,2082
507,Coburg Community Charter School,Eugene SD 4J,2082
510,Edison Elementary School,Eugene SD 4J,2082
